,3170
CHANGES.txt,1534
build.xml,206
NEWS.txt,158
StorageService.java,144
changelog,96
ColumnFamilyStore.java,89
DatabaseDescriptor.java,87
CompactionManager.java,74
cqlsh.py,55
StorageProxy.java,53
SSTableReader.java,53
Config.java,52
CassandraDaemon.java,51
cassandra.yaml,51
copyutil.py,49
SelectStatement.java,44
LegacyLayout.java,42
SinglePartitionReadCommand.java,38
NodeProbe.java,37
ReadCommand.java,36
MessagingService.java,36
Instance.java,36
Gossiper.java,35
CQLTester.java,35
CFMetaData.java,32
SchemaKeyspace.java,32
SecondaryIndexTest.java,32
ViewTest.java,32
SystemKeyspace.java,31
StorageServiceMBean.java,30
CQL.textile,30
SASIIndexTest.java,27
ModificationStatement.java,26
View.java,26
CompactionStrategyManager.java,26
DataResolver.java,26
ColumnIndex.java,25
Keyspace.java,25
StatementRestrictions.java,25
config.yml,25
AbstractCluster.java,25
FBUtilities.java,24
cql3handling.py,24
QueryProcessor.java,24
SelectTest.java,24
AlterTest.java,23
CreateViewStatement.java,23
cassandra,23
ActiveRepairService.java,22
AlterTableStatement.java,22
CommitLogReplayer.java,22
BatchStatement.java,22
Directories.java,22
Scrubber.java,21
SecondaryIndexManager.java,21
BigTableWriter.java,21
CommitLog.java,21
LegacySSTableTest.java,21
cassandra-env.ps1,21
cassandra-env.sh,21
LegacySchemaMigrator.java,21
NodeTool.java,20
SchemaLoader.java,20
Util.java,19
PartitionUpdate.java,19
AggregationTest.java,19
formatting.py,19
AbstractCompactionStrategy.java,19
StartupChecks.java,19
OutboundTcpConnection.java,19
SSTableReversedIterator.java,19
CompactionTask.java,19
LeveledCompactionStrategy.java,19
index.rst,19
Memtable.java,18
MigrationManager.java,18
TableMetrics.java,18
CommitLogSegment.java,18
Selection.java,18
JsonTest.java,18
FileUtils.java,17
UFTest.java,17
Operation.java,17
UnfilteredSerializer.java,17
RowFilter.java,17
MetadataCollector.java,17
cqlsh,16
Schema.java,16
StressProfile.java,16
DeleteTest.java,16
UnfilteredDeserializer.java,16
StreamSession.java,16
LeveledManifest.java,16
Message.java,16
CassandraServer.java,16
AbstractType.java,16
ColumnFilter.java,15
StreamReader.java,15
CompactionController.java,15
