Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
v-3-1-0,org.apache.cassandra.metrics,TableMetrics,getValue,Long Statement,The length of the statement "for ( ColumnFamilyStore cfs2 : cfs.concatWithIndexes()) size+=cfs2.getTracker().getView().getCurrentMemtable().getAllocator().onHeap().owns();" is 142.,250
v-3-1-0,org.apache.cassandra.metrics,TableMetrics,getValue,Long Statement,The length of the statement "for ( ColumnFamilyStore cfs2 : cfs.concatWithIndexes()) size+=cfs2.getTracker().getView().getCurrentMemtable().getAllocator().offHeap().owns();" is 143.,260
v-3-1-0,org.apache.cassandra.metrics,TableMetrics,getValue,Long Statement,The length of the statement "for ( ColumnFamilyStore cfs2 : cfs.concatWithIndexes()) size+=cfs2.getTracker().getView().getCurrentMemtable().getLiveDataSize();" is 129.,270
v-3-1-0,org.apache.cassandra.metrics,TableMetrics,release,Long Statement,The length of the statement "Metrics.remove(factory.createMetricName("EstimatedPartitionSizeHistogram")`aliasFactory.createMetricName("EstimatedRowSizeHistogram"));" is 135.,654
v-3-1-0,org.apache.cassandra.metrics,TableMetrics,release,Long Statement,The length of the statement "Metrics.remove(factory.createMetricName("EstimatedColumnCountHistogram")`aliasFactory.createMetricName("EstimatedColumnCountHistogram"));" is 137.,654
v-3-1-0,org.apache.cassandra.metrics,TableMetrics,release,Long Statement,The length of the statement "Metrics.remove(factory.createMetricName("CoordinatorReadLatency")`aliasFactory.createMetricName("CoordinatorReadLatency"));" is 123.,654
v-3-1-0,org.apache.cassandra.metrics,TableMetrics,release,Long Statement,The length of the statement "Metrics.remove(factory.createMetricName("CoordinatorScanLatency")`aliasFactory.createMetricName("CoordinatorScanLatency"));" is 123.,654
v-3-1-0,org.apache.cassandra.metrics,TableMetrics,release,Long Statement,The length of the statement "Metrics.remove(factory.createMetricName("WaitingOnFreeMemtableSpace")`aliasFactory.createMetricName("WaitingOnFreeMemtableSpace"));" is 131.,654
v-3-1-0,org.apache.cassandra.metrics,TableMetrics,createTableHistogram,Long Statement,The length of the statement "Histogram cfHistogram=Metrics.histogram(factory.createMetricName(name)`aliasFactory.createMetricName(alias)`considerZeroes);" is 124.,759
v-3-1-0,org.apache.cassandra.metrics,TableMetrics,createTableHistogram,Long Statement,The length of the statement "return new TableHistogram(cfHistogram`keyspaceHistogram`Metrics.histogram(globalFactory.createMetricName(name)`globalAliasFactory.createMetricName(alias)`considerZeroes));" is 171.,759
v-3-1-0,org.apache.cassandra.metrics,TableMetrics,createTableTimer,Long Statement,The length of the statement "return new TableTimer(cfTimer`keyspaceTimer`Metrics.timer(globalFactory.createMetricName(name)`globalAliasFactory.createMetricName(alias)));" is 140.,775
v-3-1-0,org.apache.cassandra.metrics,TableMetrics,createMetricName,Long Statement,The length of the statement "return new CassandraMetricsRegistry.MetricName(groupName`type`metricName`keyspaceName + "." + tableName`mbeanName.toString());" is 126.,850
v-3-1-0,org.apache.cassandra.metrics,TableMetricNameFactory,createMetricName,Long Statement,The length of the statement "return new CassandraMetricsRegistry.MetricName(groupName`type`metricName`keyspaceName + "." + tableName`mbeanName.toString());" is 126.,850
v-3-1-0,org.apache.cassandra.metrics,CassandraMetricsRegistry,remove,Empty catch clause,The method has an empty catch block.,127
v-3-1-0,org.apache.cassandra.metrics,CassandraMetricsRegistry,registerMBean,Empty catch clause,The method has an empty catch block.,149
v-3-1-0,org.apache.cassandra.metrics,CassandraMetricsRegistry,removeAlias,Empty catch clause,The method has an empty catch block.,187
