file,modifications
CHANGES.txt,69
build.xml,11
StorageService.java,10
NEWS.txt,8
ColumnFamilyStore.java,7
Gossiper.java,7
RowCacheTest.java,6
StorageProxy.java,6
changelog,5
CompactionManager.java,4
SSTableRewriter.java,4
StreamReader.java,4
NodeProbe.java,4
SecondaryIndexManager.java,4
SecondaryIndexTest.java,4
cqlsh,4
MigrationManager.java,4
cqlsh.py,4
SystemKeyspace.java,4
CompactionController.java,3
AbstractColumnFamilyInputFormat.java,3
EndpointState.java,3
FailureDetector.java,3
VersionedValue.java,3
EndpointStateTest.java,3
CloudstackSnitchTest.java,3
EC2SnitchTest.java,3
GoogleCloudSnitchTest.java,3
StreamReceiveTask.java,3
CompressionMetadata.java,3
CQLTester.java,3
cql3handling.py,3
QueryProcessor.java,3
CompactionsPurgeTest.java,2
CQLSSTableWriterTest.java,2
CqlRecordWriter.java,2
CqlNativeStorage.java,2
StorageServiceMBean.java,2
AlterTest.java,2
ActiveRepairService.java,2
AlterTableStatement.java,2
CompressedInputStreamTest.java,2
formatting.py,2
CompressedStreamReader.java,2
KeysSearcher.java,2
Json.java,2
QueryOptions.java,2
DropTypeStatement.java,2
CassandraIndexTest.java,2
PropertyFileSnitch.java,2
YamlFileNetworkTopologySnitch.java,2
helptopics.py,2
Schema.java,2
cassandra-driver-internal-only-3.0.0-6af642d.zip,2
test_cqlsh_completion.py,2
test_cqlsh_output.py,2
BufferedDataOutputStreamPlus.java,2
DataOutputBuffer.java,2
DataOutputBufferFixed.java,2
SafeMemoryWriter.java,2
DataOutputTest.java,2
ThreadPoolMetrics.java,2
TpStats.java,2
StatusLogger.java,2
CASClientRequestMetrics.java,2
CassandraMetricsRegistry.java,2
EstimatedHistogramReservoir.java,2
KeyspaceMetrics.java,2
EstimatedHistogram.java,2
EstimatedHistogramTest.java,2
CassandraDaemon.java,2
StartupChecks.java,2
JavaSourceUDFFactory.java,1
MessagingService.java,1
CQLSSTableWriter.java,1
README.txt,1
AuditTrigger.properties,1
AuditTrigger.java,1
CLibrary.java,1
CLibraryTest.java,1
Bounds.java,1
CounterCacheTest.java,1
BoundsTest.java,1
NodeTool.java,1
SimpleDateType.java,1
HintedHandOffManager.java,1
HintedHandOffTest.java,1
LogFile.java,1
LogTransaction.java,1
CustomIndexTest.java,1
AggregationTest.java,1
StorageServiceServerTest.java,1
RepairOption.java,1
RepairOptionTest.java,1
SchemaLoader.java,1
RandomAccessReader.java,1
FileMessageHeader.java,1
IncomingFileMessage.java,1
OutgoingFileMessage.java,1
