,index,name,hash,date,added_lines,deleted_lines,modifications,old_path,new_path,change_type,nloc,complexity
10,10,StorageService.java,a018bcb7d7ae74f9fa3f33cce2f0cc0deed6a442,2015-11-18 16:00:36,2,1,3,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3364,726
11,11,StorageService.java,01d26dd3fc35a6b22a538f75545b0d9b739ee48d,2016-01-04 22:33:44,2,2,4,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3364,726
12,12,StorageService.java,6ff1cbb3ee1b7e6f261aeb454854dd249ab605df,2016-01-05 15:22:06,1,1,2,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3322,711
13,13,StorageService.java,b551b8e1e6ac37698b78e4ee65a658bd446e7f05,2015-12-31 10:27:25,1,1,2,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3336,728
14,14,StorageService.java,e2c6341898fa43b0e262ef031f267587050b8d0f,2015-08-03 10:12:47,70,0,70,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3410,737
15,15,DatabaseDescriptor.java,47341eb6aaca318d0ffc0e9f906b98db50b9e9ff,2015-07-30 14:03:17,17,1,18,src/java/org/apache/cassandra/config/DatabaseDescriptor.java,src/java/org/apache/cassandra/config/DatabaseDescriptor.java,MODIFY,1445,374
16,16,DatabaseDescriptor.java,94c361d1a7a63490f1b66f5b10e02579516c5eae,2015-11-26 13:00:20,5,0,5,src/java/org/apache/cassandra/config/DatabaseDescriptor.java,src/java/org/apache/cassandra/config/DatabaseDescriptor.java,MODIFY,1444,364
17,17,DatabaseDescriptor.java,c20566fa64031dd30a1f731eee1394264977eb6f,2015-12-14 16:09:55,10,0,10,src/java/org/apache/cassandra/config/DatabaseDescriptor.java,src/java/org/apache/cassandra/config/DatabaseDescriptor.java,MODIFY,1574,406
18,18,DatabaseDescriptor.java,f54eab71d299429e17f315734484fb176f542167,2015-12-12 15:37:40,2,2,4,src/java/org/apache/cassandra/config/DatabaseDescriptor.java,src/java/org/apache/cassandra/config/DatabaseDescriptor.java,MODIFY,1586,408
19,19,DatabaseDescriptor.java,01d26dd3fc35a6b22a538f75545b0d9b739ee48d,2016-01-04 22:33:44,3,3,6,src/java/org/apache/cassandra/config/DatabaseDescriptor.java,src/java/org/apache/cassandra/config/DatabaseDescriptor.java,MODIFY,1586,408
20,20,DatabaseDescriptor.java,e2c6341898fa43b0e262ef031f267587050b8d0f,2015-08-03 10:12:47,0,3,3,src/java/org/apache/cassandra/config/DatabaseDescriptor.java,src/java/org/apache/cassandra/config/DatabaseDescriptor.java,MODIFY,1584,407
21,21,StorageProxy.java,557bbbccb0eddc9f2ba6431b023b3ded253de056,2015-07-03 15:16:15,24,6,30,src/java/org/apache/cassandra/service/StorageProxy.java,src/java/org/apache/cassandra/service/StorageProxy.java,MODIFY,1867,328
22,22,StorageProxy.java,a8b9e533fd4c394111d506b94fbda28759a2604b,2015-12-12 18:16:27,1,1,2,src/java/org/apache/cassandra/service/StorageProxy.java,src/java/org/apache/cassandra/service/StorageProxy.java,MODIFY,1899,337
23,23,StorageProxy.java,0f5e780781ce3f0cb3732515dacc7e467571a7c9,2015-12-18 09:14:57,1,1,2,src/java/org/apache/cassandra/service/StorageProxy.java,src/java/org/apache/cassandra/service/StorageProxy.java,MODIFY,1915,338
24,24,StorageProxy.java,3c8d87f4324e5ff8bf6b1c3652e9c5eacf03bc20,2015-12-10 12:28:45,41,3,44,src/java/org/apache/cassandra/service/StorageProxy.java,src/java/org/apache/cassandra/service/StorageProxy.java,MODIFY,1950,341
25,25,StorageProxy.java,bd5c8bbc04e017089743b27cce55635dac00b98e,2015-12-24 07:59:31,3,41,44,src/java/org/apache/cassandra/service/StorageProxy.java,src/java/org/apache/cassandra/service/StorageProxy.java,MODIFY,1915,338
26,26,StorageProxy.java,c9ef25fd81501005b6484baf064081efc557f3f4,2015-12-15 21:39:16,8,5,13,src/java/org/apache/cassandra/service/StorageProxy.java,src/java/org/apache/cassandra/service/StorageProxy.java,MODIFY,1918,338
27,27,BatchStatement.java,0f5e780781ce3f0cb3732515dacc7e467571a7c9,2015-12-18 09:14:57,3,10,13,src/java/org/apache/cassandra/cql3/statements/BatchStatement.java,src/java/org/apache/cassandra/cql3/statements/BatchStatement.java,MODIFY,419,95
28,28,BatchStatement.java,796db6e09c2c5f462df7d75513b3b765ed0404da,2015-12-22 16:24:11,3,0,3,src/java/org/apache/cassandra/cql3/statements/BatchStatement.java,src/java/org/apache/cassandra/cql3/statements/BatchStatement.java,MODIFY,427,99
29,29,BatchStatement.java,11716547f87f4c88a2790323744b0ed97175854d,2015-11-20 13:51:06,26,1,27,src/java/org/apache/cassandra/cql3/statements/BatchStatement.java,src/java/org/apache/cassandra/cql3/statements/BatchStatement.java,MODIFY,378,88
30,30,BatchStatement.java,202cf9b0bed8bbff41318f1f10043aabf3a7cd4d,2016-01-06 12:10:13,26,2,28,src/java/org/apache/cassandra/cql3/statements/BatchStatement.java,src/java/org/apache/cassandra/cql3/statements/BatchStatement.java,MODIFY,416,99
31,31,BatchStatement.java,f288387917fd787f8476c2bca7dfb9d7892c24e8,2016-01-06 12:12:12,25,1,26,src/java/org/apache/cassandra/cql3/statements/BatchStatement.java,src/java/org/apache/cassandra/cql3/statements/BatchStatement.java,MODIFY,445,103
32,32,BatchStatement.java,85b8d02aaebae25fa430b3d036058323a42c8e4e,2016-01-06 12:12:12,24,0,24,src/java/org/apache/cassandra/cql3/statements/BatchStatement.java,src/java/org/apache/cassandra/cql3/statements/BatchStatement.java,MODIFY,439,100
33,33,Index.java,557bbbccb0eddc9f2ba6431b023b3ded253de056,2015-07-03 15:16:15,1,1,2,src/java/org/apache/cassandra/index/Index.java,src/java/org/apache/cassandra/index/Index.java,MODIFY,57,2
34,34,Index.java,f81a91d3fe0d1cd93f093c74356a1d7d018ed22f,2015-11-06 18:38:47,15,0,15,src/java/org/apache/cassandra/index/Index.java,src/java/org/apache/cassandra/index/Index.java,MODIFY,63,3
35,35,Index.java,440366edd0ef0e1c6c1af69230dabc996d967626,2015-11-19 15:56:42,51,0,51,src/java/org/apache/cassandra/index/Index.java,src/java/org/apache/cassandra/index/Index.java,MODIFY,84,5
36,36,Index.java,6536c05b48b08de9048f68967a5f69d17d56d6fd,2015-12-28 15:15:15,1,1,2,src/java/org/apache/cassandra/index/Index.java,src/java/org/apache/cassandra/index/Index.java,MODIFY,84,5
37,37,Index.java,6b7db8a534797d0ca7ebae506b265efd03e679ee,2016-01-01 13:56:30,2,2,4,src/java/org/apache/cassandra/index/Index.java,src/java/org/apache/cassandra/index/Index.java,MODIFY,84,5
38,38,SSTableReader.java,0f5e780781ce3f0cb3732515dacc7e467571a7c9,2015-12-18 09:14:57,1,1,2,src/java/org/apache/cassandra/io/sstable/format/SSTableReader.java,src/java/org/apache/cassandra/io/sstable/format/SSTableReader.java,MODIFY,1588,322
39,39,SSTableReader.java,b6868fbb82226046b0208939005fbecfd20895a9,2015-12-25 17:59:16,4,6,10,src/java/org/apache/cassandra/io/sstable/format/SSTableReader.java,src/java/org/apache/cassandra/io/sstable/format/SSTableReader.java,MODIFY,1588,322
40,40,SSTableReader.java,7bd577375ca5b661eb1fdb92954363546e864655,2015-12-26 22:24:30,1,1,2,src/java/org/apache/cassandra/io/sstable/format/SSTableReader.java,src/java/org/apache/cassandra/io/sstable/format/SSTableReader.java,MODIFY,1588,322
41,41,SSTableReader.java,6536c05b48b08de9048f68967a5f69d17d56d6fd,2015-12-28 15:15:15,0,1,1,src/java/org/apache/cassandra/io/sstable/format/SSTableReader.java,src/java/org/apache/cassandra/io/sstable/format/SSTableReader.java,MODIFY,1588,322
42,42,SSTableReader.java,6b7db8a534797d0ca7ebae506b265efd03e679ee,2016-01-01 13:56:30,1,1,2,src/java/org/apache/cassandra/io/sstable/format/SSTableReader.java,src/java/org/apache/cassandra/io/sstable/format/SSTableReader.java,MODIFY,1588,322
43,43,Config.java,47341eb6aaca318d0ffc0e9f906b98db50b9e9ff,2015-07-30 14:03:17,2,1,3,src/java/org/apache/cassandra/config/Config.java,src/java/org/apache/cassandra/config/Config.java,MODIFY,234,4
44,44,Config.java,94c361d1a7a63490f1b66f5b10e02579516c5eae,2015-11-26 13:00:20,1,0,1,src/java/org/apache/cassandra/config/Config.java,src/java/org/apache/cassandra/config/Config.java,MODIFY,254,11
45,45,Config.java,c20566fa64031dd30a1f731eee1394264977eb6f,2015-12-14 16:09:55,1,0,1,src/java/org/apache/cassandra/config/Config.java,src/java/org/apache/cassandra/config/Config.java,MODIFY,239,4
46,46,Config.java,e2c6341898fa43b0e262ef031f267587050b8d0f,2015-08-03 10:12:47,1,1,2,src/java/org/apache/cassandra/config/Config.java,src/java/org/apache/cassandra/config/Config.java,MODIFY,240,4
47,47,ColumnFamilyStore.java,1db386e46e451250b2375060f92093f670091c02,2015-05-06 16:50:47,6,4,10,src/java/org/apache/cassandra/db/ColumnFamilyStore.java,src/java/org/apache/cassandra/db/ColumnFamilyStore.java,MODIFY,1617,314
48,48,ColumnFamilyStore.java,f81a91d3fe0d1cd93f093c74356a1d7d018ed22f,2015-11-06 18:38:47,1,1,2,src/java/org/apache/cassandra/db/ColumnFamilyStore.java,src/java/org/apache/cassandra/db/ColumnFamilyStore.java,MODIFY,1680,326
49,49,ColumnFamilyStore.java,21103bea23fa07ab4e38092e788a9a37b5707334,2015-12-21 20:28:24,1,1,2,src/java/org/apache/cassandra/db/ColumnFamilyStore.java,src/java/org/apache/cassandra/db/ColumnFamilyStore.java,MODIFY,1680,326
50,50,ColumnFamilyStore.java,e2c6341898fa43b0e262ef031f267587050b8d0f,2015-08-03 10:12:47,91,6,97,src/java/org/apache/cassandra/db/ColumnFamilyStore.java,src/java/org/apache/cassandra/db/ColumnFamilyStore.java,MODIFY,1756,338
51,51,CFMetaData.java,2d991a7e4cc73b522f2c8adf14b5ff37a7947427,2015-09-24 14:09:21,4,0,4,src/java/org/apache/cassandra/config/CFMetaData.java,src/java/org/apache/cassandra/config/CFMetaData.java,MODIFY,1054,241
52,52,CFMetaData.java,cee35e42d05f125bf274b9cefb7653c21ca4b676,2015-12-08 11:59:09,3,3,6,src/java/org/apache/cassandra/config/CFMetaData.java,src/java/org/apache/cassandra/config/CFMetaData.java,MODIFY,1755,423
53,53,CFMetaData.java,6b7db8a534797d0ca7ebae506b265efd03e679ee,2016-01-01 13:56:30,1,1,2,src/java/org/apache/cassandra/config/CFMetaData.java,src/java/org/apache/cassandra/config/CFMetaData.java,MODIFY,1049,238
54,54,CFMetaData.java,01d26dd3fc35a6b22a538f75545b0d9b739ee48d,2016-01-04 22:33:44,6,3,9,src/java/org/apache/cassandra/config/CFMetaData.java,src/java/org/apache/cassandra/config/CFMetaData.java,MODIFY,1051,238
55,55,MessageDeliveryTask.java,557bbbccb0eddc9f2ba6431b023b3ded253de056,2015-07-03 15:16:15,4,8,12,src/java/org/apache/cassandra/net/MessageDeliveryTask.java,src/java/org/apache/cassandra/net/MessageDeliveryTask.java,MODIFY,68,11
56,56,MessageDeliveryTask.java,3c8d87f4324e5ff8bf6b1c3652e9c5eacf03bc20,2015-12-10 12:28:45,38,4,42,src/java/org/apache/cassandra/net/MessageDeliveryTask.java,src/java/org/apache/cassandra/net/MessageDeliveryTask.java,MODIFY,102,18
57,57,MessageDeliveryTask.java,bd5c8bbc04e017089743b27cce55635dac00b98e,2015-12-24 07:59:31,4,38,42,src/java/org/apache/cassandra/net/MessageDeliveryTask.java,src/java/org/apache/cassandra/net/MessageDeliveryTask.java,MODIFY,69,11
58,58,MessageDeliveryTask.java,c9ef25fd81501005b6484baf064081efc557f3f4,2015-12-15 21:39:16,3,2,5,src/java/org/apache/cassandra/net/MessageDeliveryTask.java,src/java/org/apache/cassandra/net/MessageDeliveryTask.java,MODIFY,70,11
59,59,MessagingService.java,557bbbccb0eddc9f2ba6431b023b3ded253de056,2015-07-03 15:16:15,7,2,9,src/java/org/apache/cassandra/net/MessagingService.java,src/java/org/apache/cassandra/net/MessagingService.java,MODIFY,929,159
60,60,MessagingService.java,c8493c41ec7acda6b38c18218633301115e98b19,2015-12-04 13:52:30,6,0,6,src/java/org/apache/cassandra/net/MessagingService.java,src/java/org/apache/cassandra/net/MessagingService.java,MODIFY,899,156
61,61,MessagingService.java,94c361d1a7a63490f1b66f5b10e02579516c5eae,2015-11-26 13:00:20,16,4,20,src/java/org/apache/cassandra/net/MessagingService.java,src/java/org/apache/cassandra/net/MessagingService.java,MODIFY,910,160
62,62,MessagingService.java,c9ef25fd81501005b6484baf064081efc557f3f4,2015-12-15 21:39:16,30,7,37,src/java/org/apache/cassandra/net/MessagingService.java,src/java/org/apache/cassandra/net/MessagingService.java,MODIFY,976,170
63,63,CassandraVersion.java,6536c05b48b08de9048f68967a5f69d17d56d6fd,2015-12-28 15:15:15,4,2,6,src/java/org/apache/cassandra/utils/CassandraVersion.java,src/java/org/apache/cassandra/utils/CassandraVersion.java,MODIFY,161,49
64,64,CassandraVersion.java,5347d72e07746683c237f5f1942afd3b63e868db,2015-12-29 13:32:39,7,3,10,src/java/org/apache/cassandra/utils/CassandraVersion.java,src/java/org/apache/cassandra/utils/CassandraVersion.java,MODIFY,161,50
65,65,CassandraVersion.java,80c51c03b6d923cabf11ba713ec89aef4a446097,2015-12-31 13:10:27,0,9,9,src/java/org/apache/cassandra/utils/CassandraVersion.java,src/java/org/apache/cassandra/utils/CassandraVersion.java,MODIFY,153,49
66,66,CassandraVersion.java,01d26dd3fc35a6b22a538f75545b0d9b739ee48d,2016-01-04 22:33:44,4,2,6,src/java/org/apache/cassandra/utils/CassandraVersion.java,src/java/org/apache/cassandra/utils/CassandraVersion.java,MODIFY,154,49
67,67,CipherFactoryTest.java,47341eb6aaca318d0ffc0e9f906b98db50b9e9ff,2015-07-30 14:03:17,87,0,87,,test/unit/org/apache/cassandra/security/CipherFactoryTest.java,ADD,73,7
68,68,CipherFactoryTest.java,f512995e09bf2364c0a9d7c22e34e30c231a5836,2015-08-06 05:14:15,12,0,12,test/unit/org/apache/cassandra/security/CipherFactoryTest.java,test/unit/org/apache/cassandra/security/CipherFactoryTest.java,MODIFY,83,9
69,69,CipherFactoryTest.java,c0f2dc5d3dcf3913801577b42175f13b159338b4,2015-10-27 12:29:35,1,1,2,test/unit/org/apache/cassandra/security/CipherFactoryTest.java,test/unit/org/apache/cassandra/security/CipherFactoryTest.java,MODIFY,83,9
70,70,ModificationStatement.java,2d991a7e4cc73b522f2c8adf14b5ff37a7947427,2015-09-24 14:09:21,4,4,8,src/java/org/apache/cassandra/cql3/statements/ModificationStatement.java,src/java/org/apache/cassandra/cql3/statements/ModificationStatement.java,MODIFY,642,122
71,71,ModificationStatement.java,557bbbccb0eddc9f2ba6431b023b3ded253de056,2015-07-03 15:16:15,4,2,6,src/java/org/apache/cassandra/cql3/statements/ModificationStatement.java,src/java/org/apache/cassandra/cql3/statements/ModificationStatement.java,MODIFY,644,122
72,72,ModificationStatement.java,0f5e780781ce3f0cb3732515dacc7e467571a7c9,2015-12-18 09:14:57,1,8,9,src/java/org/apache/cassandra/cql3/statements/ModificationStatement.java,src/java/org/apache/cassandra/cql3/statements/ModificationStatement.java,MODIFY,645,119
73,73,ReadCommand.java,557bbbccb0eddc9f2ba6431b023b3ded253de056,2015-07-03 15:16:15,62,11,73,src/java/org/apache/cassandra/db/ReadCommand.java,src/java/org/apache/cassandra/db/ReadCommand.java,MODIFY,1165,238
74,74,ReadCommand.java,1d7bacc45fa1cd6cac36d7f9ece30ba1ed430f2a,2015-12-28 14:08:10,1,1,2,src/java/org/apache/cassandra/db/ReadCommand.java,src/java/org/apache/cassandra/db/ReadCommand.java,MODIFY,1131,230
75,75,ReadCommand.java,3c6dfa4aa0b9ffb0a48a02b949bff2a8406764e6,2016-01-07 15:16:26,15,6,21,src/java/org/apache/cassandra/db/ReadCommand.java,src/java/org/apache/cassandra/db/ReadCommand.java,MODIFY,1180,242
76,76,View.java,557bbbccb0eddc9f2ba6431b023b3ded253de056,2015-07-03 15:16:15,4,4,8,src/java/org/apache/cassandra/db/view/View.java,src/java/org/apache/cassandra/db/view/View.java,MODIFY,503,109
77,77,View.java,6b7db8a534797d0ca7ebae506b265efd03e679ee,2016-01-01 13:56:30,2,1,3,src/java/org/apache/cassandra/db/view/View.java,src/java/org/apache/cassandra/db/view/View.java,MODIFY,518,113
78,78,View.java,e2c6341898fa43b0e262ef031f267587050b8d0f,2015-08-03 10:12:47,1,1,2,src/java/org/apache/cassandra/db/lifecycle/View.java,src/java/org/apache/cassandra/db/lifecycle/View.java,MODIFY,236,42
79,79,SimpleSSTableMultiWriter.java,127f7c5844f938649de0f3a5dec630b3c5cda256,2015-09-30 12:41:30,3,2,5,src/java/org/apache/cassandra/io/sstable/SimpleSSTableMultiWriter.java,src/java/org/apache/cassandra/io/sstable/SimpleSSTableMultiWriter.java,MODIFY,82,14
80,80,SimpleSSTableMultiWriter.java,f81a91d3fe0d1cd93f093c74356a1d7d018ed22f,2015-11-06 18:38:47,3,1,4,src/java/org/apache/cassandra/io/sstable/SimpleSSTableMultiWriter.java,src/java/org/apache/cassandra/io/sstable/SimpleSSTableMultiWriter.java,MODIFY,84,14
81,81,SimpleSSTableMultiWriter.java,e2c6341898fa43b0e262ef031f267587050b8d0f,2015-08-03 10:12:47,5,2,7,src/java/org/apache/cassandra/io/sstable/SimpleSSTableMultiWriter.java,src/java/org/apache/cassandra/io/sstable/SimpleSSTableMultiWriter.java,MODIFY,87,14
82,82,SSTableRewriterTest.java,127f7c5844f938649de0f3a5dec630b3c5cda256,2015-09-30 12:41:30,14,14,28,test/unit/org/apache/cassandra/io/sstable/SSTableRewriterTest.java,test/unit/org/apache/cassandra/io/sstable/SSTableRewriterTest.java,MODIFY,903,102
83,83,SSTableRewriterTest.java,f81a91d3fe0d1cd93f093c74356a1d7d018ed22f,2015-11-06 18:38:47,1,1,2,test/unit/org/apache/cassandra/io/sstable/SSTableRewriterTest.java,test/unit/org/apache/cassandra/io/sstable/SSTableRewriterTest.java,MODIFY,903,102
84,84,SSTableRewriterTest.java,0e63000c3fd0029e5b620a7923ea2ac54771e8e9,2015-12-18 20:33:21,1,164,165,test/unit/org/apache/cassandra/io/sstable/SSTableRewriterTest.java,test/unit/org/apache/cassandra/io/sstable/SSTableRewriterTest.java,MODIFY,757,78
85,85,StressGraph.java,e4467a0f6d3f9c616fa6f3fc3e51c99aa3925878,2015-10-21 15:40:26,261,0,261,,tools/stress/src/org/apache/cassandra/stress/StressGraph.java,ADD,215,31
86,86,StressGraph.java,4675b2089f727c015bd6ea446f9896ac2f17c9a5,2015-12-26 22:43:04,5,5,10,tools/stress/src/org/apache/cassandra/stress/StressGraph.java,tools/stress/src/org/apache/cassandra/stress/StressGraph.java,MODIFY,215,31
87,87,StressGraph.java,bcbb53b7deb9d45a2833eb4755a2f39860ae05b6,2015-12-30 21:28:54,17,17,34,tools/stress/src/org/apache/cassandra/stress/StressGraph.java,tools/stress/src/org/apache/cassandra/stress/StressGraph.java,MODIFY,215,31
88,88,AggregateFcts.java,269c5d4f85d6e4edd1a100533c9adb88a36ade70,2015-11-16 15:04:51,6,11,17,src/java/org/apache/cassandra/cql3/functions/AggregateFcts.java,src/java/org/apache/cassandra/cql3/functions/AggregateFcts.java,MODIFY,624,54
89,89,AggregateFcts.java,8287ebcb6ad46529ca90600dc0c2f98ecab89cf0,2015-12-24 14:05:16,85,56,141,src/java/org/apache/cassandra/cql3/functions/AggregateFcts.java,src/java/org/apache/cassandra/cql3/functions/AggregateFcts.java,MODIFY,616,60
90,90,AggregateFcts.java,e4eabd901522742550074d5c3c5f25b642037891,2016-01-04 16:34:27,172,58,230,src/java/org/apache/cassandra/cql3/functions/AggregateFcts.java,src/java/org/apache/cassandra/cql3/functions/AggregateFcts.java,MODIFY,707,74
91,91,CastFcts.java,269c5d4f85d6e4edd1a100533c9adb88a36ade70,2015-11-16 15:04:51,301,0,301,,src/java/org/apache/cassandra/cql3/functions/CastFcts.java,ADD,193,26
92,92,CastFcts.java,485c23d29b558b1561df3dc219e4e8f887c09234,2015-12-10 21:28:16,50,7,57,src/java/org/apache/cassandra/cql3/functions/CastFcts.java,src/java/org/apache/cassandra/cql3/functions/CastFcts.java,MODIFY,223,32
93,93,CastFcts.java,6f5e8358d7d43850e5b0c65d1e4a16a0403ea765,2015-12-10 21:38:54,5,5,10,src/java/org/apache/cassandra/cql3/functions/CastFcts.java,src/java/org/apache/cassandra/cql3/functions/CastFcts.java,MODIFY,223,32
94,94,AggregationTest.java,269c5d4f85d6e4edd1a100533c9adb88a36ade70,2015-11-16 15:04:51,2,1,3,test/unit/org/apache/cassandra/cql3/validation/operations/AggregationTest.java,test/unit/org/apache/cassandra/cql3/validation/operations/AggregationTest.java,MODIFY,1378,38
95,95,AggregationTest.java,8287ebcb6ad46529ca90600dc0c2f98ecab89cf0,2015-12-24 14:05:16,42,0,42,test/unit/org/apache/cassandra/cql3/validation/operations/AggregationTest.java,test/unit/org/apache/cassandra/cql3/validation/operations/AggregationTest.java,MODIFY,1381,39
96,96,AggregationTest.java,e4eabd901522742550074d5c3c5f25b642037891,2016-01-04 16:34:27,41,0,41,test/unit/org/apache/cassandra/cql3/validation/operations/AggregationTest.java,test/unit/org/apache/cassandra/cql3/validation/operations/AggregationTest.java,MODIFY,1419,40
97,97,CommitLogReplayer.java,1c41a9ac2c147ed111d9d8fba53652707dac7df0,2015-11-24 15:17:10,82,49,131,src/java/org/apache/cassandra/db/commitlog/CommitLogReplayer.java,src/java/org/apache/cassandra/db/commitlog/CommitLogReplayer.java,MODIFY,557,99
98,98,CommitLogReplayer.java,0f5e780781ce3f0cb3732515dacc7e467571a7c9,2015-12-18 09:14:57,1,1,2,src/java/org/apache/cassandra/db/commitlog/CommitLogReplayer.java,src/java/org/apache/cassandra/db/commitlog/CommitLogReplayer.java,MODIFY,557,99
99,99,CommitLogReplayer.java,01d26dd3fc35a6b22a538f75545b0d9b739ee48d,2016-01-04 22:33:44,1,1,2,src/java/org/apache/cassandra/db/commitlog/CommitLogReplayer.java,src/java/org/apache/cassandra/db/commitlog/CommitLogReplayer.java,MODIFY,557,99
100,100,ViewTest.java,587fd9f77a7dd75f6264cdbd4e82f526dfa28745,2015-12-04 15:37:39,1,1,2,test/unit/org/apache/cassandra/cql3/ViewTest.java,test/unit/org/apache/cassandra/cql3/ViewTest.java,MODIFY,706,77
101,101,ViewTest.java,e2c6341898fa43b0e262ef031f267587050b8d0f,2015-08-03 10:12:47,2,1,3,test/unit/org/apache/cassandra/db/lifecycle/ViewTest.java,test/unit/org/apache/cassandra/db/lifecycle/ViewTest.java,MODIFY,169,18
102,102,ViewTest.java,70c08ece563731cd546d24541f225c888f4d02f5,2016-01-06 10:41:47,30,0,30,test/unit/org/apache/cassandra/cql3/ViewTest.java,test/unit/org/apache/cassandra/cql3/ViewTest.java,MODIFY,728,78
103,103,CqlInputFormat.java,4f3e47bf9edbfefec2f85ecd915ac8fbbc81de8b,2015-12-10 12:33:58,5,3,8,src/java/org/apache/cassandra/hadoop/cql3/CqlInputFormat.java,src/java/org/apache/cassandra/hadoop/cql3/CqlInputFormat.java,MODIFY,37,2
104,104,CqlInputFormat.java,a7a03887cdfd109d0a0150a4bce1eba9b70494de,2015-12-10 12:41:15,11,6,17,src/java/org/apache/cassandra/hadoop/cql3/CqlInputFormat.java,src/java/org/apache/cassandra/hadoop/cql3/CqlInputFormat.java,MODIFY,256,40
105,105,CqlInputFormat.java,2da3c9db154449e15d5a2c2072db77b65c9e931a,2015-12-17 12:18:46,22,24,46,src/java/org/apache/cassandra/hadoop/cql3/CqlInputFormat.java,src/java/org/apache/cassandra/hadoop/cql3/CqlInputFormat.java,MODIFY,254,39
106,106,StorageServiceMBean.java,6536c05b48b08de9048f68967a5f69d17d56d6fd,2015-12-28 15:15:15,1,1,2,src/java/org/apache/cassandra/service/StorageServiceMBean.java,src/java/org/apache/cassandra/service/StorageServiceMBean.java,MODIFY,130,0
107,107,StorageServiceMBean.java,6b7db8a534797d0ca7ebae506b265efd03e679ee,2016-01-01 13:56:30,2,2,4,src/java/org/apache/cassandra/service/StorageServiceMBean.java,src/java/org/apache/cassandra/service/StorageServiceMBean.java,MODIFY,130,0
108,108,StorageServiceMBean.java,e2c6341898fa43b0e262ef031f267587050b8d0f,2015-08-03 10:12:47,1,0,1,src/java/org/apache/cassandra/service/StorageServiceMBean.java,src/java/org/apache/cassandra/service/StorageServiceMBean.java,MODIFY,131,0
109,109,ClientWarningsTest.java,202cf9b0bed8bbff41318f1f10043aabf3a7cd4d,2016-01-06 12:10:13,2,3,5,test/unit/org/apache/cassandra/service/ClientWarningsTest.java,test/unit/org/apache/cassandra/service/ClientWarningsTest.java,MODIFY,80,6
