,index,name,hash,date,added_lines,deleted_lines,modifications,old_path,new_path,change_type,nloc,complexity
0,0,CompactionManager.java,127f7c5844f938649de0f3a5dec630b3c5cda256,2015-09-30 12:41:30,3,3,6,src/java/org/apache/cassandra/db/compaction/CompactionManager.java,src/java/org/apache/cassandra/db/compaction/CompactionManager.java,MODIFY,1252,194
1,1,CompactionManager.java,f81a91d3fe0d1cd93f093c74356a1d7d018ed22f,2015-11-06 18:38:47,2,0,2,src/java/org/apache/cassandra/db/compaction/CompactionManager.java,src/java/org/apache/cassandra/db/compaction/CompactionManager.java,MODIFY,1274,198
2,2,CompactionManager.java,fc7075a41837301f3866333e0eb5c464715d888c,2015-12-08 12:22:25,14,0,14,src/java/org/apache/cassandra/db/compaction/CompactionManager.java,src/java/org/apache/cassandra/db/compaction/CompactionManager.java,MODIFY,1202,187
3,3,CompactionManager.java,71bac92cf1df08de194a8283f382a7950b3a78ed,2015-12-10 15:33:15,4,1,5,src/java/org/apache/cassandra/db/compaction/CompactionManager.java,src/java/org/apache/cassandra/db/compaction/CompactionManager.java,MODIFY,1291,200
4,4,CompactionManager.java,cae395026af3f82afbbee6d2ab090f985ee006d3,2015-12-22 15:11:25,56,0,56,src/java/org/apache/cassandra/db/compaction/CompactionManager.java,src/java/org/apache/cassandra/db/compaction/CompactionManager.java,MODIFY,1341,208
5,5,CompactionManager.java,0d51b65e32bd2c6343d7a07314e0c88256c73bf0,2015-12-09 13:09:33,4,2,6,src/java/org/apache/cassandra/db/compaction/CompactionManager.java,src/java/org/apache/cassandra/db/compaction/CompactionManager.java,MODIFY,1204,187
6,6,CompactionManager.java,260163994e4ac71fafb0578cb143ab4f0f22d6ad,2015-12-29 11:35:10,2,3,5,src/java/org/apache/cassandra/db/compaction/CompactionManager.java,src/java/org/apache/cassandra/db/compaction/CompactionManager.java,MODIFY,1340,208
7,7,CompactionManager.java,e2c6341898fa43b0e262ef031f267587050b8d0f,2015-08-03 10:12:47,74,4,78,src/java/org/apache/cassandra/db/compaction/CompactionManager.java,src/java/org/apache/cassandra/db/compaction/CompactionManager.java,MODIFY,1396,216
8,8,StorageService.java,9135340a13531930f26fb8175b057342791ff044,2015-10-08 12:13:28,22,18,40,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3336,727
9,9,StorageService.java,94c361d1a7a63490f1b66f5b10e02579516c5eae,2015-11-26 13:00:20,4,4,8,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3322,711
