,index,name,hash,added_lines,deleted_lines,modifications,old_path,new_path,change_type,nloc,complexity
0,0,StorageService.java,6bad57fc3cf967838a220d8402db37ed9a5b3b4e,31,34,65,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3306,717
1,1,StorageService.java,6bb6bb005197c33fa94026d472ff78d4f36613cc,31,34,65,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3302,703
2,2,StorageService.java,9a90e9894e9e079058876cf2b16a47d29ba0a32a,30,31,61,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3344,718
3,3,StorageService.java,ecd66de2bdf2ecb88c4276a4616a76f5ec2921bb,6,0,6,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3311,718
4,4,StorageService.java,a8e8a67306c0b26b8fe9c74a1fb00bacfa224cf7,3,0,3,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3314,719
5,5,StorageService.java,99b82dbb43277035562e7b82bb9bdebd84510e96,5,4,9,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3311,705
6,6,StorageService.java,ae315b5ec944571342146867c51b2ceb50f3845e,4,5,9,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3351,720
7,7,StorageService.java,7650fc196341bd673626054593f2ce6e895d7783,27,5,32,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3333,726
8,8,StorageService.java,51753263a4c4d50c5bbe7bb80636cca5b6458ecf,7,7,14,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3333,726
9,9,StorageService.java,15f03ab446854cf4d2999c3785d145c89bc3a3e4,5,14,19,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3319,710
10,10,StorageService.java,9135340a13531930f26fb8175b057342791ff044,22,18,40,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3336,727
11,11,StorageService.java,94c361d1a7a63490f1b66f5b10e02579516c5eae,4,4,8,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3322,711
12,12,StorageService.java,a018bcb7d7ae74f9fa3f33cce2f0cc0deed6a442,2,1,3,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3364,726
13,13,StorageService.java,01d26dd3fc35a6b22a538f75545b0d9b739ee48d,2,2,4,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3364,726
14,14,StorageService.java,6ff1cbb3ee1b7e6f261aeb454854dd249ab605df,1,1,2,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3322,711
15,15,StorageService.java,b551b8e1e6ac37698b78e4ee65a658bd446e7f05,1,1,2,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3336,728
16,16,StorageService.java,e2c6341898fa43b0e262ef031f267587050b8d0f,70,0,70,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3410,737
17,17,StorageService.java,85ad12275f5012ed77af4ac4b0921d95e74a7d8e,88,0,88,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3482,753
18,18,StorageService.java,ffc0840d03014331035f24be3c76aa812973089f,1,1,2,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3410,737
19,19,StorageService.java,6d6d1890425e0372debc3acc21f86dce7c08cf37,12,0,12,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3345,730
20,20,StorageService.java,3f053121f12aa7cf059d14414769bc96d0ee6b37,8,5,13,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3493,756
21,21,StorageService.java,abe0c6779c287c4f55a48a08c83f9cda7d6616f5,6,1,7,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3349,733
22,22,StorageService.java,dba2e16c95951216d401358180b309eec34eb7e5,2,0,2,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3457,742
23,23,StorageService.java,dd2006b0c1053e9b536ac5ec66f38646d764cb6f,1,0,1,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3337,716
24,24,StorageService.java,ee9e38b7dc20a3b98e5a68904be35d727ed9c09c,72,34,106,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3539,758
25,25,StorageService.java,8408c76aff1a5fbb7ea8984aaeced55c076b00a9,1,1,2,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3349,732
26,26,StorageService.java,6c6b7e40c39e0f1d1c37352a19f8bd73c205bc6d,18,14,32,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3354,732
27,27,StorageService.java,b2f38ef177b5c19288f96d9bfe5304ec94391f73,8,0,8,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3418,731
28,28,StorageService.java,f3b7599e3b615f26cc81affa97569f6a7395cccc,21,0,21,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3435,735
29,29,StorageService.java,f4b21f5ffa962de19901d1841f89f529ccc335b3,13,9,22,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3360,733
30,30,StorageService.java,0a35341675c6c2026113736f9447f08069b6eb83,4,1,5,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3444,737
31,31,StorageService.java,a20a0f724bee67ccf010cfbb72dbc1f90a1d5b4a,1,0,1,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3445,737
32,32,StorageService.java,e8651b6625c7f6260852f2a9c45fb189c63ab528,1,0,1,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3445,737
33,33,StorageService.java,01d863619c8b301770751b7c4feda23f18bef697,6,1,7,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3353,717
34,34,StorageService.java,b06bcf73fb50c8e887d4469042543a9d78f7848c,6,1,7,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3353,717
35,35,StorageService.java,97dbc7a2aabc1d2b6eb311a764fcbb0f30dfef8f,2,2,4,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3353,717
36,36,StorageService.java,8b8a3f5b99fa7a8eefed14cd7e41b81773617046,19,5,24,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3372,736
37,37,StorageService.java,21448c50891642f95097a9e5ed0a3802bd90a877,19,0,19,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3612,772
38,38,StorageService.java,3557d2e05c8d1059562de2a91c1b33b4fcfcc6eb,22,6,28,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3375,721
39,39,StorageService.java,95d927d38fbb13bfdcfc8e5a7475eb3e44082aaa,46,19,65,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3646,782
40,40,StorageService.java,a4e1182816909761c98355b1079b2f9de8efc4bd,15,12,27,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3475,743
41,41,StorageService.java,2bc5f0c61ddb428b4826d83d42dad473eaeac002,108,64,172,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3670,785
42,42,StorageService.java,7b0c7164aa22c156811a5d1a001c43d099aad8e4,7,0,7,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3676,786
43,43,StorageService.java,f463fed234ce5bd9c536ac5fdf51c3555b9af805,1,1,2,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3375,721
