Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
v-3-11-11,org.apache.cassandra.metrics,LatencyMetrics,6,2,7,7,88,10,0,0,0.2857142857142857,0,0,/Users/armandosoaressousa/git/msr/pilot-test/analises/designite/v-3-11-11/src/java/org/apache/cassandra/metrics/LatencyMetrics.java,32
v-3-11-11,org.apache.cassandra.metrics,BufferPoolMetrics,3,2,2,2,20,2,0,0,1.0,0,1,/Users/armandosoaressousa/git/msr/pilot-test/analises/designite/v-3-11-11/src/java/org/apache/cassandra/metrics/BufferPoolMetrics.java,26
v-3-11-11,org.apache.cassandra.metrics,MetricNameFactory,0,0,1,0,8,1,0,0,-1.0,0,1,/Users/armandosoaressousa/git/msr/pilot-test/analises/designite/v-3-11-11/src/java/org/apache/cassandra/metrics/MetricNameFactory.java,21
v-3-11-11,org.apache.cassandra.metrics,ThreadPoolMetrics,7,6,8,8,112,15,0,0,0.875,3,0,/Users/armandosoaressousa/git/msr/pilot-test/analises/designite/v-3-11-11/src/java/org/apache/cassandra/metrics/ThreadPoolMetrics.java,39
v-3-11-11,org.apache.cassandra.metrics,SEPMetrics,7,6,6,6,70,6,0,0,0.8333333333333334,0,0,/Users/armandosoaressousa/git/msr/pilot-test/analises/designite/v-3-11-11/src/java/org/apache/cassandra/metrics/SEPMetrics.java,27
v-3-11-11,org.apache.cassandra.metrics,HintsServiceMetrics,4,3,0,0,9,0,0,0,-1.0,1,0,/Users/armandosoaressousa/git/msr/pilot-test/analises/designite/v-3-11-11/src/java/org/apache/cassandra/metrics/HintsServiceMetrics.java,24
v-3-11-11,org.apache.cassandra.metrics,DroppedMessageMetrics,3,3,2,2,25,2,0,0,1.0,0,1,/Users/armandosoaressousa/git/msr/pilot-test/analises/designite/v-3-11-11/src/java/org/apache/cassandra/metrics/DroppedMessageMetrics.java,27
v-3-11-11,org.apache.cassandra.metrics,CASClientRequestMetrics,3,3,2,2,17,2,0,0,1.0,0,0,/Users/armandosoaressousa/git/msr/pilot-test/analises/designite/v-3-11-11/src/java/org/apache/cassandra/metrics/CASClientRequestMetrics.java,27
v-3-11-11,org.apache.cassandra.metrics,ClientRequestMetrics,3,3,2,2,17,2,0,0,1.0,0,0,/Users/armandosoaressousa/git/msr/pilot-test/analises/designite/v-3-11-11/src/java/org/apache/cassandra/metrics/ClientRequestMetrics.java,29
v-3-11-11,org.apache.cassandra.metrics,CompactionMetrics,7,6,7,7,94,29,0,0,0.2857142857142857,1,4,/Users/armandosoaressousa/git/msr/pilot-test/analises/designite/v-3-11-11/src/java/org/apache/cassandra/metrics/CompactionMetrics.java,36
