Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
v-3-11-11,org.apache.cassandra.metrics,CompactionMetrics,getValue,Long Statement,The length of the statement "for ( ColumnFamilyStore cfs : Keyspace.open(keyspaceName).getColumnFamilyStores()) n+=cfs.getCompactionStrategyManager().getEstimatedRemainingTasks();" is 150.,62
v-3-11-11,org.apache.cassandra.metrics,CompactionMetrics,getValue,Complex Method,Cyclomatic complexity of the method is 9,79
v-3-11-11,org.apache.cassandra.metrics,TableMetrics,getValue,Complex Method,Cyclomatic complexity of the method is 8,174
v-3-11-11,org.apache.cassandra.metrics,TableMetrics,getValue,Magic Number,The method contains a magic number: 2,174
v-3-11-11,org.apache.cassandra.metrics,TableMetrics,getValue,Magic Number,The method contains a magic number: 100,174
v-3-11-11,org.apache.cassandra.metrics,TableMetrics,getValue,Magic Number,The method contains a magic number: 100.0,174
v-3-11-11,org.apache.cassandra.metrics,TableMetrics,TableMetrics,Complex Method,Cyclomatic complexity of the method is 36,267
v-3-11-11,org.apache.cassandra.metrics,TableMetrics,TableMetrics,Long Identifier,The length of the field estimatedPartitionSizeHistogram is 31.,267
v-3-11-11,org.apache.cassandra.metrics,TableMetrics,TableMetrics,Long Identifier,The length of the field recentBloomFilterFalsePositives is 31.,267
v-3-11-11,org.apache.cassandra.metrics,TableMetrics,TableMetrics,Long Identifier,The length of the field compressionMetadataOffHeapMemoryUsed is 36.,267
v-3-11-11,org.apache.cassandra.metrics,TableMetrics,TableMetrics,Long Identifier,The length of the field replicaFilteringProtectionRequests is 34.,267
v-3-11-11,org.apache.cassandra.metrics,TableMetrics,TableMetrics,Long Method,The method has 358 lines of code.,267
v-3-11-11,org.apache.cassandra.metrics,TableMetrics,TableMetrics,Long Statement,The length of the statement "for ( ColumnFamilyStore cfs2 : cfs.concatWithIndexes()) size+=cfs2.getTracker().getView().getCurrentMemtable().getAllocator().onHeap().owns();" is 142.,267
v-3-11-11,org.apache.cassandra.metrics,TableMetrics,TableMetrics,Long Statement,The length of the statement "for ( ColumnFamilyStore cfs2 : cfs.concatWithIndexes()) size+=cfs2.getTracker().getView().getCurrentMemtable().getAllocator().offHeap().owns();" is 143.,267
v-3-11-11,org.apache.cassandra.metrics,TableMetrics,TableMetrics,Long Statement,The length of the statement "for ( ColumnFamilyStore cfs2 : cfs.concatWithIndexes()) size+=cfs2.getTracker().getView().getCurrentMemtable().getLiveDataSize();" is 129.,267
v-3-11-11,org.apache.cassandra.metrics,TableMetrics,TableMetrics,Long Statement,The length of the statement "estimatedPartitionSizeHistogram=Metrics.register(factory.createMetricName("EstimatedPartitionSizeHistogram")`aliasFactory.createMetricName("EstimatedRowSizeHistogram")`new Gauge<long[]>(){" is 188.,267
v-3-11-11,org.apache.cassandra.metrics,TableMetrics,TableMetrics,Long Statement,The length of the statement "estimatedPartitionCount=Metrics.register(factory.createMetricName("EstimatedPartitionCount")`aliasFactory.createMetricName("EstimatedRowCount")`new Gauge<Long>(){" is 162.,267
v-3-11-11,org.apache.cassandra.metrics,TableMetrics,TableMetrics,Long Statement,The length of the statement "estimatedColumnCountHistogram=Metrics.register(factory.createMetricName("EstimatedColumnCountHistogram")`aliasFactory.createMetricName("EstimatedColumnCountHistogram")`new Gauge<long[]>(){" is 188.,267
v-3-11-11,org.apache.cassandra.metrics,TableMetrics,TableMetrics,Long Statement,The length of the statement "sstablesPerReadHistogram=createTableHistogram("SSTablesPerReadHistogram"`cfs.keyspace.metric.sstablesPerReadHistogram`true);" is 124.,267
v-3-11-11,org.apache.cassandra.metrics,TableMetrics,TableMetrics,Long Statement,The length of the statement "keyCacheHitRate=Metrics.register(factory.createMetricName("KeyCacheHitRate")`aliasFactory.createMetricName("KeyCacheHitRate")`new RatioGauge(){" is 143.,267
v-3-11-11,org.apache.cassandra.metrics,TableMetrics,TableMetrics,Long Statement,The length of the statement "tombstoneScannedHistogram=createTableHistogram("TombstoneScannedHistogram"`cfs.keyspace.metric.tombstoneScannedHistogram`false);" is 128.,267
v-3-11-11,org.apache.cassandra.metrics,TableMetrics,TableMetrics,Long Statement,The length of the statement "colUpdateTimeDeltaHistogram=createTableHistogram("ColUpdateTimeDeltaHistogram"`cfs.keyspace.metric.colUpdateTimeDeltaHistogram`false);" is 134.,267
v-3-11-11,org.apache.cassandra.metrics,TableMetrics,TableMetrics,Magic Number,The method contains a magic number: 100,267
v-3-11-11,org.apache.cassandra.metrics,TableMetrics,TableMetrics,Magic Number,The method contains a magic number: 100.0,267
v-3-11-11,org.apache.cassandra.metrics,TableMetrics,getValue,Long Statement,The length of the statement "for ( ColumnFamilyStore cfs2 : cfs.concatWithIndexes()) size+=cfs2.getTracker().getView().getCurrentMemtable().getAllocator().onHeap().owns();" is 142.,313
v-3-11-11,org.apache.cassandra.metrics,TableMetrics,getValue,Long Statement,The length of the statement "for ( ColumnFamilyStore cfs2 : cfs.concatWithIndexes()) size+=cfs2.getTracker().getView().getCurrentMemtable().getAllocator().offHeap().owns();" is 143.,323
v-3-11-11,org.apache.cassandra.metrics,TableMetrics,getValue,Long Statement,The length of the statement "for ( ColumnFamilyStore cfs2 : cfs.concatWithIndexes()) size+=cfs2.getTracker().getView().getCurrentMemtable().getLiveDataSize();" is 129.,333
v-3-11-11,org.apache.cassandra.metrics,TableMetrics,getValue,Magic Number,The method contains a magic number: 100,402
v-3-11-11,org.apache.cassandra.metrics,TableMetrics,getValue,Magic Number,The method contains a magic number: 100.0,402
v-3-11-11,org.apache.cassandra.metrics,TableMetrics,release,Long Statement,The length of the statement "Metrics.remove(factory.createMetricName("EstimatedPartitionSizeHistogram")`aliasFactory.createMetricName("EstimatedRowSizeHistogram"));" is 135.,729
v-3-11-11,org.apache.cassandra.metrics,TableMetrics,release,Long Statement,The length of the statement "Metrics.remove(factory.createMetricName("EstimatedColumnCountHistogram")`aliasFactory.createMetricName("EstimatedColumnCountHistogram"));" is 137.,729
v-3-11-11,org.apache.cassandra.metrics,TableMetrics,release,Long Statement,The length of the statement "Metrics.remove(factory.createMetricName("CoordinatorReadLatency")`aliasFactory.createMetricName("CoordinatorReadLatency"));" is 123.,729
v-3-11-11,org.apache.cassandra.metrics,TableMetrics,release,Long Statement,The length of the statement "Metrics.remove(factory.createMetricName("CoordinatorScanLatency")`aliasFactory.createMetricName("CoordinatorScanLatency"));" is 123.,729
v-3-11-11,org.apache.cassandra.metrics,TableMetrics,release,Long Statement,The length of the statement "Metrics.remove(factory.createMetricName("WaitingOnFreeMemtableSpace")`aliasFactory.createMetricName("WaitingOnFreeMemtableSpace"));" is 131.,729
v-3-11-11,org.apache.cassandra.metrics,TableMetrics,createHistogram,Long Statement,The length of the statement "Histogram histogram=Metrics.histogram(factory.createMetricName(name)`aliasFactory.createMetricName(name)`considerZeroes);" is 121.,841
v-3-11-11,org.apache.cassandra.metrics,TableMetrics,createTableHistogram,Long Statement,The length of the statement "Histogram cfHistogram=Metrics.histogram(factory.createMetricName(name)`aliasFactory.createMetricName(alias)`considerZeroes);" is 124.,883
v-3-11-11,org.apache.cassandra.metrics,TableMetrics,createTableHistogram,Long Statement,The length of the statement "return new TableHistogram(cfHistogram`keyspaceHistogram`Metrics.histogram(globalFactory.createMetricName(name)`globalAliasFactory.createMetricName(alias)`considerZeroes));" is 171.,883
v-3-11-11,org.apache.cassandra.metrics,TableMetrics,createTableTimer,Long Statement,The length of the statement "return new TableTimer(cfTimer`keyspaceTimer`Metrics.timer(globalFactory.createMetricName(name)`globalAliasFactory.createMetricName(alias)));" is 140.,899
v-3-11-11,org.apache.cassandra.metrics,TableMetrics,createMetricName,Long Statement,The length of the statement "return new CassandraMetricsRegistry.MetricName(groupName`type`metricName`keyspaceName + "." + tableName`mbeanName.toString());" is 126.,974
v-3-11-11,org.apache.cassandra.metrics,TableMetricNameFactory,createMetricName,Long Statement,The length of the statement "return new CassandraMetricsRegistry.MetricName(groupName`type`metricName`keyspaceName + "." + tableName`mbeanName.toString());" is 126.,974
v-3-11-11,org.apache.cassandra.metrics,CassandraMetricsRegistry,remove,Empty catch clause,The method has an empty catch block.,129
v-3-11-11,org.apache.cassandra.metrics,CassandraMetricsRegistry,registerMBean,Empty catch clause,The method has an empty catch block.,151
v-3-11-11,org.apache.cassandra.metrics,CassandraMetricsRegistry,removeAlias,Empty catch clause,The method has an empty catch block.,190
v-3-11-11,org.apache.cassandra.metrics,CassandraMetricsRegistry,MetricName,Long Statement,The length of the statement "this(klass.getPackage() == null ? "" : klass.getPackage().getName()`withoutFinalDollar(klass.getSimpleName())`name`scope);" is 122.,609
v-3-11-11,org.apache.cassandra.metrics,CassandraMetricsRegistry,MetricName,Long Parameter List,The method has 5 parameters. ,637
v-3-11-11,org.apache.cassandra.metrics,MetricName,MetricName,Long Statement,The length of the statement "this(klass.getPackage() == null ? "" : klass.getPackage().getName()`withoutFinalDollar(klass.getSimpleName())`name`scope);" is 122.,609
v-3-11-11,org.apache.cassandra.metrics,MetricName,MetricName,Long Parameter List,The method has 5 parameters. ,637
v-3-11-11,org.apache.cassandra.metrics,RestorableMeter,RestorableMeter,Magic Number,The method contains a magic number: 15,49
v-3-11-11,org.apache.cassandra.metrics,RestorableMeter,RestorableMeter,Magic Number,The method contains a magic number: 120,49
v-3-11-11,org.apache.cassandra.metrics,RestorableMeter,RestorableMeter,Magic Number,The method contains a magic number: 15,60
v-3-11-11,org.apache.cassandra.metrics,RestorableMeter,RestorableMeter,Magic Number,The method contains a magic number: 120,60
v-3-11-11,org.apache.cassandra.metrics,DefaultNameFactory,createMetricName,Long Statement,The length of the statement "return new CassandraMetricsRegistry.MetricName(GROUP_NAME`type`metricName`scope`createDefaultMBeanName(type`metricName`scope));" is 127.,47
v-3-11-11,org.apache.cassandra.metrics,DecayingEstimatedHistogramReservoir,DecayingEstimatedHistogramReservoir,Long Identifier,The length of the field DEFAULT_WITH_ZERO_BUCKET_OFFSETS is 32.,135
v-3-11-11,org.apache.cassandra.metrics,DecayingEstimatedHistogramReservoir,DecayingEstimatedHistogramReservoir,Long Identifier,The length of the field DEFAULT_WITHOUT_ZERO_BUCKET_OFFSETS is 35.,135
v-3-11-11,org.apache.cassandra.metrics,DecayingEstimatedHistogramReservoir,forwardDecayWeight,Magic Number,The method contains a magic number: 1000L,191
v-3-11-11,org.apache.cassandra.metrics,KeyspaceMetrics,KeyspaceMetrics,Long Identifier,The length of the field compressionMetadataOffHeapMemoryUsed is 36.,101
v-3-11-11,org.apache.cassandra.metrics,KeyspaceMetrics,KeyspaceMetrics,Long Method,The method has 113 lines of code.,101
v-3-11-11,org.apache.cassandra.metrics,KeyspaceMetrics,getValue,Long Identifier,The length of the field compressionMetadataOffHeapMemoryUsed is 36.,217
v-3-11-11,org.apache.cassandra.tracing,TracingImpl,begin,Long Statement,The length of the statement "state.executeMutation(TraceKeyspace.makeStartSessionMutation(sessionId`client`parameters`request`startedAt`command`ttl));" is 121.,51
v-3-11-11,org.apache.cassandra.tracing,Tracing,newSession,Long Statement,The length of the statement "return newSession(TimeUUIDType.instance.compose(ByteBuffer.wrap(UUIDGen.getTimeUUIDBytes()))`TraceType.QUERY`customPayload);" is 124.,141
v-3-11-11,org.apache.cassandra.tracing,Tracing,newSession,Long Statement,The length of the statement "return newSession(TimeUUIDType.instance.compose(ByteBuffer.wrap(UUIDGen.getTimeUUIDBytes()))`traceType`Collections.EMPTY_MAP);" is 126.,149
v-3-11-11,org.apache.cassandra.tracing,Tracing,initializeFromMessage,Magic Number,The method contains a magic number: 16,225
v-3-11-11,org.apache.cassandra.tracing,Tracing,getTraceHeaders,Long Statement,The length of the statement "return ImmutableMap.of(TRACE_HEADER`UUIDGen.decompose(Tracing.instance.getSessionId())`TRACE_TYPE`new byte[]{Tracing.TraceType.serialize(Tracing.instance.getTraceType())});" is 172.,261
v-3-11-11,org.apache.cassandra.tracing,TraceKeyspace,metadata,Magic Number,The method contains a magic number: 2,94
v-3-11-11,org.apache.cassandra.tracing,TraceKeyspace,makeStartSessionMutation,Long Parameter List,The method has 7 parameters. ,99
v-3-11-11,org.apache.cassandra.tracing,TraceKeyspace,makeStartSessionMutation,Long Statement,The length of the statement "builder.row().ttl(ttl).add("client"`client).add("coordinator"`FBUtilities.getBroadcastAddress()).add("request"`request).add("started_at"`new Date(startedAt)).add("command"`command).appendAll("parameters"`parameters);" is 216.,99
v-3-11-11,org.apache.cassandra.tracing,TraceKeyspace,makeEventMutation,Long Parameter List,The method has 5 parameters. ,129
v-3-11-11,org.apache.cassandra.tracing,TraceStateImpl,waitForPendingEvents,Long Identifier,The length of the field WAIT_FOR_PENDING_EVENTS_TIMEOUT_SECS is 36.,72
v-3-11-11,org.apache.cassandra.tracing,TraceStateImpl,waitForPendingEvents,Long Statement,The length of the statement "if (logger.isTraceEnabled()) logger.trace("Waiting for up to {} seconds for {} trace events to complete"`+WAIT_FOR_PENDING_EVENTS_TIMEOUT_SECS`pendingFutures.size());" is 166.,72
v-3-11-11,org.apache.cassandra.tracing,TraceStateImpl,waitForPendingEvents,Long Statement,The length of the statement "CompletableFuture.allOf(pendingFutures.toArray(new CompletableFuture<?>[pendingFutures.size()])).get(WAIT_FOR_PENDING_EVENTS_TIMEOUT_SECS`TimeUnit.SECONDS);" is 156.,72
v-3-11-11,org.apache.cassandra.tracing,TraceStateImpl,waitForPendingEvents,Long Statement,The length of the statement "if (logger.isTraceEnabled()) logger.trace("Failed to wait for tracing events to complete in {} seconds"`WAIT_FOR_PENDING_EVENTS_TIMEOUT_SECS);" is 142.,72
v-3-11-11,org.apache.cassandra.locator,OldNetworkTopologyStrategy,calculateNaturalEndpoints,Complex Method,Cyclomatic complexity of the method is 10,45
v-3-11-11,org.apache.cassandra.locator,OldNetworkTopologyStrategy,calculateNaturalEndpoints,Long Statement,The length of the statement "if (!snitch.getRack(metadata.getEndpoint(primaryToken)).equals(snitch.getRack(metadata.getEndpoint(t))) && snitch.getDatacenter(metadata.getEndpoint(primaryToken)).equals(snitch.getDatacenter(metadata.getEndpoint(t)))) {" is 220.,45
v-3-11-11,org.apache.cassandra.locator,GoogleCloudSnitch,gceApiCall,Long Statement,The length of the statement "if (conn.getResponseCode() != 200) throw new ConfigurationException("GoogleCloudSnitch was unable to execute the API call. Not a gce node?");" is 141.,71
v-3-11-11,org.apache.cassandra.locator,GoogleCloudSnitch,gceApiCall,Magic Number,The method contains a magic number: 200,71
v-3-11-11,org.apache.cassandra.locator,PendingRangeMaps,PendingRangeMaps,Long Identifier,The length of the field ascendingComparatorForWrapAround is 32.,119
v-3-11-11,org.apache.cassandra.locator,PendingRangeMaps,PendingRangeMaps,Long Identifier,The length of the field descendingComparatorForWrapAround is 33.,119
v-3-11-11,org.apache.cassandra.locator,PropertyFileSnitch,PropertyFileSnitch,Long Identifier,The length of the field DEFAULT_REFRESH_PERIOD_IN_SECONDS is 33.,63
v-3-11-11,org.apache.cassandra.locator,PropertyFileSnitch,PropertyFileSnitch,Magic Number,The method contains a magic number: 1000,68
v-3-11-11,org.apache.cassandra.locator,PropertyFileSnitch,reloadConfiguration,Complex Method,Cyclomatic complexity of the method is 13,141
v-3-11-11,org.apache.cassandra.locator,PropertyFileSnitch,reloadConfiguration,Long Statement,The length of the statement "if (reloadedDefaultDCRack == null && localInfo == null) throw new ConfigurationException(String.format("Snitch definitions at %s do not define a location for " + "this node's broadcast address %s` nor does it provides a default"`SNITCH_PROPERTIES_FILENAME`broadcastAddress));" is 275.,141
v-3-11-11,org.apache.cassandra.locator,PropertyFileSnitch,reloadConfiguration,Long Statement,The length of the statement "if (!localAddress.equals(broadcastAddress) && !reloadedMap.containsKey(localAddress)) reloadedMap.put(localAddress`localInfo);" is 126.,141
v-3-11-11,org.apache.cassandra.locator,PropertyFileSnitch,reloadConfiguration,Long Statement,The length of the statement "for ( Map.Entry<InetAddress`String[]> entry : reloadedMap.entrySet()) sb.append(entry.getKey()).append(':').append(Arrays.toString(entry.getValue())).append("` ");" is 163.,141
v-3-11-11,org.apache.cassandra.locator,PropertyFileSnitch,reloadConfiguration,Magic Number,The method contains a magic number: 2,141
v-3-11-11,org.apache.cassandra.locator,PropertyFileSnitch,reloadConfiguration,Magic Number,The method contains a magic number: 2,141
v-3-11-11,org.apache.cassandra.locator,PropertyFileSnitch,livenessCheck,Long Statement,The length of the statement "Set<InetAddress> hosts=Arrays.equals(defaultDCRack`reloadedDefaultDCRack) ? Sets.intersection(StorageService.instance.getLiveRingMembers()`Sets.union(endpointMap.keySet()`reloadedMap.keySet())) : StorageService.instance.getLiveRingMembers();" is 241.,227
v-3-11-11,org.apache.cassandra.locator,PropertyFileSnitch,livenessCheck,Long Statement,The length of the statement "logger.error("Cannot update data center or rack from {} to {} for live host {}` property file NOT RELOADED"`origValue`updateValue`host);" is 136.,227
v-3-11-11,org.apache.cassandra.locator,TokenMetadata,TokenMetadata,Long Statement,The length of the statement "this(SortedBiMultiValMap.<Token`InetAddress>create(null`inetaddressCmp)`HashBiMap.<InetAddress`UUID>create()`Topology.empty()`DatabaseDescriptor.getPartitioner());" is 163.,118
v-3-11-11,org.apache.cassandra.locator,TokenMetadata,updateHostId,Long Statement,The length of the statement "throw new RuntimeException(String.format("Host ID collision between active endpoint %s and %s (id=%s)"`storedEp`endpoint`hostId));" is 130.,236
v-3-11-11,org.apache.cassandra.locator,TokenMetadata,updateHostId,Long Statement,The length of the statement "if ((storedId != null) && (!storedId.equals(hostId))) logger.warn("Changing {}'s host ID from {} to {}"`endpoint`storedId`hostId);" is 130.,236
v-3-11-11,org.apache.cassandra.locator,TokenMetadata,addBootstrapTokens,Complex Conditional,The conditional expression oldEndpoint != null && !oldEndpoint.equals(endpoint) && !oldEndpoint.equals(original) is complex.,328
v-3-11-11,org.apache.cassandra.locator,TokenMetadata,addBootstrapTokens,Long Statement,The length of the statement "if (oldEndpoint != null && !oldEndpoint.equals(endpoint)) throw new RuntimeException("Bootstrap Token collision between " + oldEndpoint + " and "+ endpoint+ " (token "+ token);" is 176.,328
v-3-11-11,org.apache.cassandra.locator,TokenMetadata,addBootstrapTokens,Long Statement,The length of the statement "if (oldEndpoint != null && !oldEndpoint.equals(endpoint) && !oldEndpoint.equals(original)) throw new RuntimeException("Bootstrap Token collision between " + oldEndpoint + " and "+ endpoint+ " (token "+ token);" is 209.,328
v-3-11-11,org.apache.cassandra.locator,TokenMetadata,addReplaceTokens,Long Statement,The length of the statement "throw new RuntimeException(String.format("Node %s is trying to replace node %s with tokens %s with a " + "different set of tokens %s."`newNode`oldNode`oldNodeTokens`replacingTokens));" is 183.,361
v-3-11-11,org.apache.cassandra.locator,TokenMetadata,cloneOnlyTokenMap,Long Statement,The length of the statement "return new TokenMetadata(SortedBiMultiValMap.create(tokenToEndpointMap`null`inetaddressCmp)`HashBiMap.create(endpointToHostIdMap)`topology`partitioner);" is 152.,634
v-3-11-11,org.apache.cassandra.locator,TokenMetadata,calculatePendingRanges,Complex Conditional,The conditional expression bootstrapTokens.isEmpty() && leavingEndpoints.isEmpty() && movingEndpoints.isEmpty() is complex.,805
v-3-11-11,org.apache.cassandra.locator,TokenMetadata,calculatePendingRanges,Long Statement,The length of the statement "if (logger.isTraceEnabled()) logger.trace("No bootstrapping` leaving or moving nodes -> empty pending ranges for {}"`keyspaceName);" is 131.,805
v-3-11-11,org.apache.cassandra.locator,TokenMetadata,calculatePendingRanges,Long Statement,The length of the statement "pendingRanges.put(keyspaceName`calculatePendingRanges(strategy`metadata`bootstrapTokensClone`leavingEndpointsClone`movingEndpointsClone));" is 138.,805
v-3-11-11,org.apache.cassandra.locator,TokenMetadata,calculatePendingRanges,Long Statement,The length of the statement "if (logger.isTraceEnabled()) logger.trace("Calculated pending ranges for {}:\n{}"`keyspaceName`(pendingRanges.isEmpty() ? "<empty>" : printPendingRanges()));" is 157.,805
v-3-11-11,org.apache.cassandra.locator,TokenMetadata,calculatePendingRanges,Complex Method,Cyclomatic complexity of the method is 13,877
v-3-11-11,org.apache.cassandra.locator,TokenMetadata,calculatePendingRanges,Long Parameter List,The method has 5 parameters. ,877
v-3-11-11,org.apache.cassandra.locator,TokenMetadata,ringIterator,Long Statement,The length of the statement "if (ring.isEmpty()) return includeMin ? Iterators.singletonIterator(start.getPartitioner().getMinimumToken()) : Collections.emptyIterator();" is 140.,1085
v-3-11-11,org.apache.cassandra.locator,TokenMetadata,ringIterator,Magic Number,The method contains a magic number: 2,1085
v-3-11-11,org.apache.cassandra.locator,TokenMetadata,computeNext,Magic Number,The method contains a magic number: 2,1101
v-3-11-11,org.apache.cassandra.locator,TokenMetadata,toString,Complex Method,Cyclomatic complexity of the method is 8,1148
v-3-11-11,org.apache.cassandra.locator,TokenMetadata,Topology,Long Statement,The length of the statement "for ( Map.Entry<String`Multimap<String`InetAddress>> entry : builder.dcRacks.entrySet()) dcRackBuilder.put(entry.getKey()`ImmutableMultimap.copyOf(entry.getValue()));" is 166.,1337
v-3-11-11,org.apache.cassandra.locator,TokenMetadata,Builder,Long Statement,The length of the statement "for ( Map.Entry<String`ImmutableMultimap<String`InetAddress>> entry : from.dcRacks.entrySet()) dcRacks.put(entry.getKey()`HashMultimap.create(entry.getValue()));" is 161.,1404
v-3-11-11,org.apache.cassandra.locator,Topology,Topology,Long Statement,The length of the statement "for ( Map.Entry<String`Multimap<String`InetAddress>> entry : builder.dcRacks.entrySet()) dcRackBuilder.put(entry.getKey()`ImmutableMultimap.copyOf(entry.getValue()));" is 166.,1337
v-3-11-11,org.apache.cassandra.locator,Topology,Builder,Long Statement,The length of the statement "for ( Map.Entry<String`ImmutableMultimap<String`InetAddress>> entry : from.dcRacks.entrySet()) dcRacks.put(entry.getKey()`HashMultimap.create(entry.getValue()));" is 161.,1404
v-3-11-11,org.apache.cassandra.locator,Builder,Builder,Long Statement,The length of the statement "for ( Map.Entry<String`ImmutableMultimap<String`InetAddress>> entry : from.dcRacks.entrySet()) dcRacks.put(entry.getKey()`HashMultimap.create(entry.getValue()));" is 161.,1404
v-3-11-11,org.apache.cassandra.locator,Ec2Snitch,Ec2Snitch,Magic Number,The method contains a magic number: 3,53
v-3-11-11,org.apache.cassandra.locator,Ec2Snitch,awsApiCall,Long Statement,The length of the statement "if (conn.getResponseCode() != 200) throw new ConfigurationException("Ec2Snitch was unable to execute the API call. Not an ec2 node?");" is 134.,70
v-3-11-11,org.apache.cassandra.locator,Ec2Snitch,awsApiCall,Magic Number,The method contains a magic number: 200,70
v-3-11-11,org.apache.cassandra.locator,RackInferringSnitch,getRack,Magic Number,The method contains a magic number: 2,28
v-3-11-11,org.apache.cassandra.locator,RackInferringSnitch,getRack,Magic Number,The method contains a magic number: 0xFF,28
v-3-11-11,org.apache.cassandra.locator,RackInferringSnitch,getRack,Magic Number,The method contains a magic number: 10,28
v-3-11-11,org.apache.cassandra.locator,RackInferringSnitch,getDatacenter,Magic Number,The method contains a magic number: 0xFF,33
v-3-11-11,org.apache.cassandra.locator,RackInferringSnitch,getDatacenter,Magic Number,The method contains a magic number: 10,33
v-3-11-11,org.apache.cassandra.locator,CloudstackSnitch,CloudstackSnitch,Magic Number,The method contains a magic number: 3,72
v-3-11-11,org.apache.cassandra.locator,CloudstackSnitch,CloudstackSnitch,Magic Number,The method contains a magic number: 2,72
v-3-11-11,org.apache.cassandra.locator,CloudstackSnitch,csQueryMetadata,Magic Number,The method contains a magic number: 200,118
v-3-11-11,org.apache.cassandra.locator,GossipingPropertyFileSnitch,loadConfiguration,Long Statement,The length of the statement "if (!properties.contains("dc") || !properties.contains("rack")) throw new ConfigurationException("DC or rack not found in snitch properties` check your configuration in: " + SnitchProperties.RACKDC_PROPERTY_FILENAME);" is 217.,72
v-3-11-11,org.apache.cassandra.locator,GossipingPropertyFileSnitch,gossiperStarting,Long Statement,The length of the statement "Gossiper.instance.addLocalApplicationState(ApplicationState.INTERNAL_IP`StorageService.instance.valueFactory.internalIP(FBUtilities.getLocalAddress().getHostAddress()));" is 169.,137
v-3-11-11,org.apache.cassandra.locator,Ec2MultiRegionSnitch,gossiperStarting,Long Statement,The length of the statement "Gossiper.instance.addLocalApplicationState(ApplicationState.INTERNAL_IP`StorageService.instance.valueFactory.internalIP(localPrivateAddress));" is 142.,61
v-3-11-11,org.apache.cassandra.locator,ReconnectableSnitchHelper,reconnect,Long Statement,The length of the statement "if (snitch.getDatacenter(publicAddress).equals(localDc) && !MessagingService.instance().getConnectionPool(publicAddress).endPoint().equals(localAddress)) {" is 155.,60
v-3-11-11,org.apache.cassandra.locator,ReconnectableSnitchHelper,onJoin,Complex Conditional,The conditional expression preferLocal && !Gossiper.instance.isDeadState(epState) && epState.getApplicationState(ApplicationState.INTERNAL_IP) != null is complex.,75
v-3-11-11,org.apache.cassandra.locator,ReconnectableSnitchHelper,onJoin,Long Statement,The length of the statement "if (preferLocal && !Gossiper.instance.isDeadState(epState) && epState.getApplicationState(ApplicationState.INTERNAL_IP) != null) reconnect(endpoint`epState.getApplicationState(ApplicationState.INTERNAL_IP));" is 207.,75
v-3-11-11,org.apache.cassandra.locator,ReconnectableSnitchHelper,onChange,Complex Conditional,The conditional expression preferLocal && state == ApplicationState.INTERNAL_IP && !Gossiper.instance.isDeadState(Gossiper.instance.getEndpointStateForEndpoint(endpoint)) is complex.,81
v-3-11-11,org.apache.cassandra.locator,ReconnectableSnitchHelper,onChange,Long Statement,The length of the statement "if (preferLocal && state == ApplicationState.INTERNAL_IP && !Gossiper.instance.isDeadState(Gossiper.instance.getEndpointStateForEndpoint(endpoint))) reconnect(endpoint`value);" is 175.,81
