Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
v-3-11-11,org.apache.cassandra.metrics,LatencyMetrics,LatencyMetrics,Long Statement,The length of the statement "latency=Metrics.timer(factory.createMetricName(namePrefix + "Latency")`aliasFactory.createMetricName(namePrefix + "Latency"));" is 126.,83
v-3-11-11,org.apache.cassandra.metrics,LatencyMetrics,LatencyMetrics,Long Statement,The length of the statement "totalLatency=Metrics.counter(factory.createMetricName(namePrefix + "TotalLatency")`aliasFactory.createMetricName(namePrefix + "TotalLatency"));" is 143.,83
v-3-11-11,org.apache.cassandra.metrics,LatencyMetrics,addNano,Magic Number,The method contains a magic number: 1000,115
v-3-11-11,org.apache.cassandra.metrics,LatencyMetrics,release,Long Statement,The length of the statement "Metrics.remove(factory.createMetricName(namePrefix + "TotalLatency")`aliasFactory.createMetricName(namePrefix + "TotalLatency"));" is 129.,127
v-3-11-11,org.apache.cassandra.metrics,ThreadPoolMetrics,getJmxMetric,Long Statement,The length of the statement "String name=String.format("org.apache.cassandra.metrics:type=ThreadPools`path=%s`scope=%s`name=%s"`jmxPath`poolName`metricName);" is 128.,115
v-3-11-11,org.apache.cassandra.metrics,ThreadPoolMetrics,getJmxMetric,Missing default,The following switch statement is missing a default case: switch (metricName) {,115
v-3-11-11,org.apache.cassandra.metrics,ThreadPoolMetrics,getJmxThreadPools,Long Statement,The length of the statement "Set<ObjectName> threadPoolObjectNames=mbeanServerConn.queryNames(new ObjectName("org.apache.cassandra.metrics:type=ThreadPools`*")`null);" is 137.,146
v-3-11-11,org.apache.cassandra.metrics,CompactionMetrics,CompactionMetrics,Complex Method,Cyclomatic complexity of the method is 12,58
v-3-11-11,org.apache.cassandra.metrics,CompactionMetrics,CompactionMetrics,Long Statement,The length of the statement "for ( ColumnFamilyStore cfs : Keyspace.open(keyspaceName).getColumnFamilyStores()) n+=cfs.getCompactionStrategyManager().getEstimatedRemainingTasks();" is 150.,58
v-3-11-11,org.apache.cassandra.metrics,CompactionMetrics,CompactionMetrics,Long Statement,The length of the statement "pendingTasksByTableName=Metrics.register(factory.createMetricName("PendingTasksByTableName")`new Gauge<Map<String`Map<String`Integer>>>(){" is 138.,58
