name,modifiedlines
SettingsSchema.java,	1
Timing.java,	1
BufferCell.java,	1
CassandraDaemon.java,	1
CassandraDaemon.java,	1
CassandraDaemon.java,	1
Config.java,	1
NodeTool.java,	1
TableStatsPrinter.java,	1
CompactionStrategyManager.java,	1
DistributionFactory.java,	1
RatioDistributionFactory.java,	1
Option.java,	1
SchemaLoader.java,	1
TombstonesTest.java,	1
TrackerTest.java,	1
ViewUtilsTest.java,	1
BootStrapperTest.java,	1
KeyCollisionTest.java,	1
TokenMetadataTest.java,	1
MoveTest.java,	1
StorageProxyTest.java,	1
SASIIndex.java,	1
CQLSSTableWriterTest.java,	1
StaticTokenTreeBuilder.java,	1
QueryController.java,	1
ChecksummedRebufferer.java,	1
JsonTransformer.java,	1
Token.java,	1
CQLSSTableWriterClientTest.java,	1
DatabaseDescriptorRefTest.java,	1
DatabaseDescriptorRefTest.java,	1
SchemaLoader.java,	1
StorageService.java,	1
CqlBulkRecordWriter.java,	1
Gossiper.java,	1
CassandraDaemon.java,	1
SchemaLoader.java,	1
StorageServiceServerTest.java,	1
CommitLogSegment.java,	1
RowCacheTest.java,	1
UserTypesTest.java,	1
UnfilteredPartitionIterators.java,	1
UnfilteredDeserializer.java,	1
UnfilteredDeserializer.java,	1
SettingsTransport.java,	1
DurationType.java,	1
Columns.java,	1
SerializationHeader.java,	1
NodeTool.java,	1
Config.java,	1
Config.java,	1
CommitLogChainedMarkersTest.java,	1
StreamReceiveTask.java,	1
EndpointSnitchInfoMBean.java,	1
DeletionTime.java,	1
OutboundTcpConnection.java,	1
SSTableReversedIterator.java,	1
ColumnDefinition.java,	1
LegacyLayoutTest.java,	1
Config.java,	1
Join.java,	1
MessagingService.java,	1
DistributedReadWritePathTest.java,	1
ColumnFamilyStore.java,	1
GossiperTest.java,	1
PendingRangeCalculatorServiceTest.java,	1
CloudstackSnitchTest.java,	1
EC2SnitchTest.java,	1
GoogleCloudSnitchTest.java,	1
PropertyFileSnitchTest.java,	1
DistributedTestBase.java,	1
CommitLog.java,	1
IInstanceConfig.java,	1
LegacyLayoutTest.java,	1
CompactionManager.java,	1
LeveledCompactionStrategy.java,	1
OperationType.java,	1
IInvokableInstance.java,	1
NodeToolTest.java,	1
DistributedTestBase.java,	1
IUpgradeableInstance.java,	1
Listen.java,	1
EmptySerializer.java,	1
CommitLogSegmentManager.java,	1
DatabaseDescriptorRefTest.java,	1
ReadCommand.java,	1
DelegatingInvokableInstance.java,	1
CipherFactory.java,	2
UUIDType.java,	2
UUIDSerializer.java,	2
PartitionRangeReadCommand.java,	2
SinglePartitionNamesCommand.java,	2
SinglePartitionSliceCommand.java,	2
Slices.java,	2
ClusteringIndexNamesFilter.java,	2
Index.java,	2
IAsyncCallbackWithFailure.java,	2
ByteSerializer.java,	2
Memtable.java,	2
SinglePartitionReadCommand.java,	2
Scrubber.java,	2
PurgingPartitionIterator.java,	2
IncomingStreamingConnection.java,	2
StreamReader.java,	2
BytesReadTracker.java,	2
RealTransactionsTest.java,	2
StressAction.java,	2
CipherFactoryTest.java,	2
CompactionManager.java,	2
StreamReader.java,	2
RowCacheTest.java,	2
CompactionsPurgeTest.java,	2
CompactionManager.java,	2
StreamReader.java,	2
RowCacheTest.java,	2
CompactionsPurgeTest.java,	2
CQLSSTableWriter.java,	2
CQLSSTableWriterTest.java,	2
AbstractColumnFamilyInputFormat.java,	2
SimpleDateType.java,	2
AggregationTest.java,	2
ActiveRepairService.java,	2
SchemaLoader.java,	2
IncomingFileMessage.java,	2
CorruptSSTableException.java,	2
ColumnFamilyStore.java,	2
CompactionManager.java,	2
RowIndexEntryTest.java,	2
ScrubTest.java,	2
SSTableRewriterTest.java,	2
BTreeSet.java,	2
CQL3Type.java,	2
DeletionTime.java,	2
ColumnFamilyStore.java,	2
Server.java,	2
StressProfile.java,	2
DataOutputBufferFixed.java,	2
CompressedSequentialWriter.java,	2
DataOutputBufferFixed.java,	2
SSTableWriter.java,	2
StreamReceiveTask.java,	2
CASClientRequestMetrics.java,	2
CASClientRequestMetrics.java,	2
ViewTest.java,	2
ReconnectableSnitchHelper.java,	2
RemoveTest.java,	2
CassandraDaemon.java,	2
StorageProxy.java,	2
AlterTableStatement.java,	2
SSTableLoader.java,	2
LocalSyncTask.java,	2
StreamingRepairTask.java,	2
BootStrapperTest.java,	2
JavaDriverClient.java,	2
NativeSSTableLoaderClient.java,	2
IMutation.java,	2
UnfilteredDeserializer.java,	2
CommitLogReplayer.java,	2
SSTableReader.java,	2
AsciiSerializer.java,	2
StorageProxy.java,	2
FailureDetector.java,	2
DateType.java,	2
TimestampType.java,	2
ColumnFamilyStore.java,	2
QueryProcessor.java,	2
HintsWriteExecutor.java,	2
HintsCatalogTest.java,	2
ReadCommandVerbHandler.java,	2
Functions.java,	2
SSTableReader.java,	2
Lists.java,	2
LazilyInitializedUnfilteredRowIterator.java,	2
Unfiltered.java,	2
Index.java,	2
Validator.java,	2
StorageServiceMBean.java,	2
CassandraRoleManager.java,	2
IRoleManager.java,	2
RoleOptions.java,	2
Roles.java,	2
CFMetaData.java,	2
QueryOptions.java,	2
SingleColumnRelation.java,	2
CompactTables.java,	2
LegacyLayout.java,	2
RangeTombstoneList.java,	2
CommitLog.java,	2
UnfilteredRowIteratorSerializer.java,	2
